token,frequency
accounting,97
yearon,2
sales,11
expand,2
segment,26
pilot,1
program,9
taxadvantaged,1
stricter,1
appraisal,19
enhancement,7
among,18
highperformance,2
province,2
undertook,2
offered,4
care,14
guarded,1
to,33
quick,1
way,10
via,3
official,1
website,18
offline,2
collaboration,3
led,1
internal,108
subsidiary,79
widened,1
crosssold,2
whereas,6
bid,6
grew,2
meanwhile,6
entrusted,34
sell,14
debit,1
card,2
credit,56
issued,56
cgb,13
demonstrated,1
positive,8
interaction,3
mutual,1
xin,5
fu,2
ying,13
jia,18
款,1
國壽鑫享金生年金保險,1
型,1
platinum,2
version,7
surrenders,1
calculated,25
accordance,75
calculation,17
method,47
forth,5
notice,21
establishing,10
former,2
regulatory,63
ru,1
replaced,2
recorded,26
three,60
endowment,11
jin,1
type,18
diamond,1
residual,17
component,17
reserve,60
day,25
initial,22
recognition,17
zero,2
negative,7
arises,5
primarily,20
passed,6
adequacy,5
test,22
declined,2
statutory,30
contribution,28
slowed,2
synchronously,1
repeated,1
trade,5
friction,1
biggest,1
disturbance,1
factor,24
slightly,1
generally,10
remained,3
fluctuated,2
narrow,1
range,9
rise,9
compared,8
fixedincome,4
portfolio,25
allocate,3
traditional,5
nonstandard,4
replenishment,6
instrument,42
strictly,15
open,7
satisfactory,2
return,31
effectively,13
implementing,9
carrying,60
rebalancing,1
appropriate,15
holding,39
object,3
category,18
amount,165
fixedmaturity,4
debt,79
scheme,31
trust,54
assetbacked,7
specialized,10
interbank,16
funds,6
private,11
unlisted,29
preference,12
changed,7
debttype,4
excluding,7
concentrated,1
sector,3
transportation,1
utility,1
energy,2
financing,11
entity,77
large,6
centralowned,1
rating,17
invested,5
good,6
condition,25
disposal,15
impairment,76
derivatives,3
recent,12
although,4
trended,1
downwards,1
meantime,3
followed,4
direction,3
bps,6
taking,22
nonequity,1
subject,33
requirement,118
of,64
items,18
basically,1
flat,1
provides,8
meet,22
unexpected,4
outflow,18
circumstance,16
enough,1
these,25
adversely,2
affect,8
ability,16
price,88
us,14
relate,5
associated,15
declared,12
arising,32
withdrawal,4
belief,7
sufficient,14
flow,52
inflow,9
come,5
noninsurance,3
bonus,15
proceeds,7
primary,6
default,4
debtor,3
fluctuation,2
volatility,5
closely,8
monitor,5
manages,11
normal,8
addition,20
vast,1
majority,5
allow,3
withdraw,1
